Character,k=3,k=5,k=7
³,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
²,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
±,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
°,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
¯,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
®,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
­,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
¬,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
«,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
ª,-247.7599941130691 18.04885021203008 53.26776272244328 435.5749475088374 156.02172103107324 -79.90164408366587 -222.6443122247832 217.58316722767432 53.26776272244356 -114.97847656497932 282.11864657040735 -79.90164408366505 327.9091118490337 91.48624168833999 53.26776272244408 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 -41.82295888097141 -203.5746407571726 -79.9016440836653 195.12759430094388 -172.58355467003727 186.43716952855243 -247.7599941130692 18.0488502120301 53.267762722443344,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13,-247.7599941130691 18.04885021203008 53.26776272244328 -110.36878987132678 -3.6803893266323954e-13 4.3274860423041564e-14 -5.595689395684441e-15 435.5749475088374 156.02172103107324 -79.90164408366587 -95.31875440805275 127.49999999999937 9.280626689148003e-15 5.718143600483659e-15 -222.6443122247832 217.58316722767432 53.26776272244356 160.4614315892528 127.50000000000102 9.280626689147997e-15 5.718143600483661e-15 -114.97847656497932 282.11864657040735 -79.90164408366505 -17.117139270488995 -127.50000000000037 3.9498312987664246e-15 1.9783185262200792e-14 327.9091118490337 91.48624168833999 53.26776272244408 82.25981645169183 -127.49999999999956 1.4611422079529574e-14 -8.346898061233476e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147994e-15 5.718143600483659e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689147999e-15 5.7181436004836565e-15 -41.82295888097141 -203.5746407571726 -79.9016440836653 33.814686509798925 -6.14139678365376e-15 9.280626689148002e-15 5.7181436004836565e-15 195.12759430094388 -172.58355467003727 186.43716952855243 -10.991834149145962 3.813611332800456e-13 3.949831298766425e-15 1.9783185262200795e-14 -247.7599941130692 18.0488502120301 53.267762722443344 -110.36878987132683 -4.2903228575727994e-13 -1.9382811654364e-14 2.966934934934628e-15
